Cost Code_Task ID,Name
01-0000,GENERAL CONDITION
01-0002,ACCOUNTING ADJ
01-0150,FINANCING EXPENSE
01-0200,MISC. OFFICE EXPENSES
01-0230,BLUEPRINTS
01-0250,MGT TRAVEL EXPENSES / AUTO
01-0251,SITE VEHICLES
01-0260,PROMOTION / APPAREL
01-0300,CCC OFFICE RENTAL
01-0301,OFFICE EQUIPMENT & SETUP SCJV
01-0302,SCJV OFFICE UTIL/COP/SUPP/WTR/P
01-0320,OWNER OFFICE
01-0321,OWNER OFFICE EQUIPMENT/CABLING
01-0322,OWNER OFFICE UTIL/COP/SUPP/WTR/P
01-0324,JANITORIAL SERVICES - OWNER/SCJV
01-0325,WATER/SEWER CONNECT FIELD OFF / HYDRANT FLOW TEST - WELKIN
01-0329,FLOOR PREPARATION
01-0355,RODENT / PEST CONTROL
01-0400,BOND
01-0450,INSURANCE
01-0451,INSURANCE DEDUCTIBLES
01-0475,SUB BONDS
01-0485,MANAGEMENT FEE
01-0500,SMALL TOOLS
01-0505,FUEL / INITIAL FILLS
01-0560,TRASH CHUTE
01-0600,PERMITS
01-0605,SITE SAFETY PLAN
01-0650,TECHNOLOGY
01-0651,BIM SOFTWARE
01-0700,CONTAINERS / DUMPSTERS
01-0701,TRUCKING
01-0780,SHANTIES
01-0800,SUPERVISION
01-0802,ENVIRONMENTAL MANAGER - JCPL/GZA
01-0804,SAFETY - 3RD PARTY INSPECTOR
01-0860,HOIST / LULL / FORKLIFT / CRANE
01-0900,MISC. LABOR
01-0901,OSHA PROTECTION
01-0902,STAND-BY TRADES
01-1001,DNU
01-1002,PROGRESS PHOTOS
01-1003,DRINKING WATER
01-1004,TEMP TOILETS
01-1005,TEMP FENCE
01-1007,TEMP POWER
01-1008,TEMP HEAT
01-1011,PROJECT SCHEDULE
01-1012,PROJECT SCHEDULE - NAUTILUS
01-1013,PROJECT SIGNS
01-1015,ENGINEERING SERVICES
01-1020,SAFETY / PPE / FIRE EXTING
01-1045,CUTTING & PATCHING
01-1400,SPECIAL INSPECTIONS
01-1600,FINAL CLEANING
01-1720,SURVEY
01-1730,CLOSEOUT
01-1750,UNSCHEDULED OVERTIME
01-1751,CONTINGENCY
01-1752,CONTINGENCY - ALLOWANCE ITEMS
01-1753,FINANCIAL STATEMENTS
01-1800,PUNCHLIST
01-1900,AIRO ALLOW - HAZARDOUS BUILDING MATERIALS
01-1901,AIRO ALLOW - SOIL SAMPLING AND ANALYSIS
01-1902,"AIRO ALLOW - LOAD, TRUCK, DISPOSE SOILS"
01-1903,"AIRO ALLOW - LOAD, TRUCK, DISPOSE PCB CONT SOILS"
01-1904,AIRO ALLOW - MOVING SERVICES FOR TRAILER RELOCATIO
01-1905,AIRO ALLOW - UNFORESEEN/DIFFERING SITE CONDITIONS
01-1906,AIRO ALLOW - DEWATERING OF CONTAMINATED WATER ONLY
01-1907,AIRO ALLOW - MOVE WB BYPASS PROJECT MATERIAL AND E
01-1908,CBF ALLOW - HAZARDOUS BUILDING MATERIALS
01-1909,CBF ALLOW - SOIL SAMPLING AND ANALYSIS
01-1910,"CBF ALLOW - LOAD, TRUCK, DISPOSE SOILS"
01-1911,"CBF ALLOW - LOAD, TRUCK, DISPOSE PCB CONT SOILS"
01-1912,CBF ALLOW - MOVING SERVICES FOR TRAILER RELOCATION
01-1913,CBF ALLOW - UNFORESEEN/DIFFERING SITE CONDITIONS
01-1914,CBF ALLOW - DEWATERING OF CONTAMINATED WATER ONLY
01-1915,CBF ALLOW - MOVE WB BYPASS PROJECT MATERIAL AND EQ
01-1916,PLATFORM ALLOW - UNFORESEEN/DIFFERING SITE CONDITI
01-1950,DESIGN WORK - DEWBERRY
02-0000,SITE WORK
02-2010,SITE ASSESSMENT REPORTS
02-2011,VIBRATION MONITORING
02-2012,TEST PITS - VM QINT
02-2015,ENVIRONMENTAL CONSULTING - APPLEMON
02-2070,ASBESTOS/DEMOLITION - COMMISARY
02-2071,DEMOLITION - RELOCATIONS
02-2101,SITE REMOVALS - M&I
02-2102,SITE REMOVALS - TUNNEL
02-2103,SITE REMOVALS - EXISTING
02-2104,SITE REMOVALS - UTILITIES
02-2105,SITE REMOVALS - MCCB
02-2106,SITE REMOVALS - EXTERIOR
02-2107,STRUCTURE DEMOLITION - SIGNAL
02-2108,STRUCTURE DEMOLITION - WM QINT
02-2109,SELECTIVE DEMO - WM QINT
02-2110,SELECTIVE DEMO - MCCB
02-2111,SELECTIVE DEMO - EXTERIOR
02-2112,PAVEMENT REMOVAL - TRAILERS
02-2113,PCB REMEDIATION
02-2202,SITE SURVEY
02-2203,SITEWORK - EARTHMOVING
02-2204,S&C TRACKS - EARTHMOVING
02-2205,M&I BLDG - EARTHMOVING
02-2206,TUNNEL - EARTHMOVING
02-2207,TRACKS - EXCAVATION
02-2208,TRACKS - BALLAST
02-2209,MCCB - EARTHMOVING
02-2210,PK LOT - EXCAVATION
02-2211,PK LOT - BACKFILL
02-2212,MODULAR - EXCAVATION
02-2213,MODULAR - BACKFILL
02-2214,EXTERIOR - EARTHMOVING
02-2215,S&C TRACKS - TRENCHING AND BACKFILLING
02-2216,TRUCKING - MUNOZ
02-2250,SOE - EXCAVATE FOR PLUG
02-2251,SOE - MCCB - EXCAVATION SUPPORT AND PROTECTION
02-2252,SOE
02-2253,SOE - TREMIE PLUG
02-2254,SOE - TUNNEL - EXCAVATION SUPPORT SYSTEMS
02-2255,SOE - UTILITIES - EXCAVATION SUPPORT AND PROTECTION
02-2256,SOE - WM CBF - EXCAVATION SUPPORT AND PROTECTION
