Cost Code_Task ID,Name
01-0000,GENERAL CONDITION
01-0002,ACCOUNTING ADJ
01-0150,FINANCING EXPENSE
01-0200,MISC. OFFICE EXPENSES
01-0230,BLUEPRINTS
01-0250,MGT TRAVEL EXPENSES / AUTO
01-0251,SITE VEHICLES
01-0260,PROMOTION / APPAREL
01-0300,CCC OFFICE RENTAL
01-0301,OFFICE EQUIPMENT & SETUP SCJV
01-0302,SCJV OFFICE UTIL/COP/SUPP/WTR/P
01-0320,OWNER OFFICE
01-0321,OWNER OFFICE EQUIPMENT/CABLING
01-0322,OWNER OFFICE UTIL/COP/SUPP/WTR/P
01-0324,JANITORIAL SERVICES - OWNER/SCJV
01-0325,WATER/SEWER CONNECT FIELD OFF / HYDRANT FLOW TEST - WELKIN
01-0329,FLOOR PREPARATION
01-0355,RODENT / PEST CONTROL
01-0400,BOND
01-0450,INSURANCE
01-0451,INSURANCE DEDUCTIBLES
01-0475,SUB BONDS
01-0485,MANAGEMENT FEE
01-0500,SMALL TOOLS
01-0505,FUEL / INITIAL FILLS
01-0560,TRASH CHUTE
01-0600,PERMITS
01-0605,SITE SAFETY PLAN
01-0650,TECHNOLOGY
01-0651,BIM SOFTWARE
01-0700,CONTAINERS / DUMPSTERS
01-0701,TRUCKING
01-0780,SHANTIES
01-0800,SUPERVISION
01-0802,ENVIRONMENTAL MANAGER - JCPL/GZA
01-0804,SAFETY - 3RD PARTY INSPECTOR
01-0860,HOIST / LULL / FORKLIFT / CRANE
01-0900,MISC. LABOR
01-0901,OSHA PROTECTION
01-0902,STAND-BY TRADES
01-1001,DNU
01-1002,PROGRESS PHOTOS
01-1003,DRINKING WATER
01-1004,TEMP TOILETS
01-1005,TEMP FENCE
01-1007,TEMP POWER
01-1008,TEMP HEAT
01-1011,PROJECT SCHEDULE
01-1012,PROJECT SCHEDULE - NAUTILUS
01-1013,PROJECT SIGNS
01-1015,ENGINEERING SERVICES
01-1020,SAFETY / PPE / FIRE EXTING
01-1045,CUTTING & PATCHING
01-1400,SPECIAL INSPECTIONS
01-1600,FINAL CLEANING
01-1720,SURVEY
01-1730,CLOSEOUT
01-1750,UNSCHEDULED OVERTIME
01-1751,CONTINGENCY
01-1752,CONTINGENCY - ALLOWANCE ITEMS
01-1753,FINANCIAL STATEMENTS
01-1800,PUNCHLIST
1,AIRO ALLOW - HAZARDOUS BUILDING MATERIALS
367,AIRO ALLOW - SOIL SAMPLING AND ANALYSIS
732,"AIRO ALLOW - LOAD, TRUCK, DISPOSE SOILS"
1097,"AIRO ALLOW - LOAD, TRUCK, DISPOSE PCB CONT SOILS"
1462,AIRO ALLOW - MOVING SERVICES FOR TRAILER RELOCATIO
1828,AIRO ALLOW - UNFORESEEN/DIFFERING SITE CONDITIONS
2193,AIRO ALLOW - DEWATERING OF CONTAMINATED WATER ONLY
2558,AIRO ALLOW - MOVE WB BYPASS PROJECT MATERIAL AND E
2923,CBF ALLOW - HAZARDOUS BUILDING MATERIALS
3289,CBF ALLOW - SOIL SAMPLING AND ANALYSIS
3654,"CBF ALLOW - LOAD, TRUCK, DISPOSE SOILS"
4019,"CBF ALLOW - LOAD, TRUCK, DISPOSE PCB CONT SOILS"
4384,CBF ALLOW - MOVING SERVICES FOR TRAILER RELOCATION
4750,CBF ALLOW - UNFORESEEN/DIFFERING SITE CONDITIONS
5115,CBF ALLOW - DEWATERING OF CONTAMINATED WATER ONLY
5480,CBF ALLOW - MOVE WB BYPASS PROJECT MATERIAL AND EQ
5845,PLATFORM ALLOW - UNFORESEEN/DIFFERING SITE CONDITI
18264,DESIGN WORK - DEWBERRY
02-0000,SITE WORK
40210,SITE ASSESSMENT REPORTS
40575,VIBRATION MONITORING
40940,TEST PITS - VM QINT
42036,ENVIRONMENTAL CONSULTING - APPLEMON
62125,ASBESTOS/DEMOLITION - COMMISARY
62490,DEMOLITION - RELOCATIONS
73447,SITE REMOVALS - M&I
73812,SITE REMOVALS - TUNNEL
74177,SITE REMOVALS - EXISTING
74542,SITE REMOVALS - UTILITIES
74908,SITE REMOVALS - MCCB
75273,SITE REMOVALS - EXTERIOR
75638,STRUCTURE DEMOLITION - SIGNAL
76003,STRUCTURE DEMOLITION - WM QINT
76369,SELECTIVE DEMO - WM QINT
76734,SELECTIVE DEMO - MCCB
77099,SELECTIVE DEMO - EXTERIOR
77464,PAVEMENT REMOVAL - TRAILERS
77830,PCB REMEDIATION
110336,SITE SURVEY
110701,SITEWORK - EARTHMOVING
111066,S&C TRACKS - EARTHMOVING
111432,M&I BLDG - EARTHMOVING
111797,TUNNEL - EARTHMOVING
112162,TRACKS - EXCAVATION
112527,TRACKS - BALLAST
112893,MCCB - EARTHMOVING
113258,PK LOT - EXCAVATION
113623,PK LOT - BACKFILL
113988,MODULAR - EXCAVATION
114354,MODULAR - BACKFILL
114719,EXTERIOR - EARTHMOVING
115084,S&C TRACKS - TRENCHING AND BACKFILLING
115449,TRUCKING - MUNOZ
127868,SOE - EXCAVATE FOR PLUG
128233,SOE - MCCB - EXCAVATION SUPPORT AND PROTECTION
128598,SOE
128964,SOE - TREMIE PLUG
129329,SOE - TUNNEL - EXCAVATION SUPPORT SYSTEMS
129694,SOE - UTILITIES - EXCAVATION SUPPORT AND PROTECTION
130059,SOE - WM CBF - EXCAVATION SUPPORT AND PROTECTION
160739,DEWATERING - M&I
161105,DEWATERING - TUNNEL
168044,PK LOT - SOLDIER PILES
168410,PK LOT - TIMBER LAGGING
168775,M&I BLDG - STEEL PILES
169140,S&C TRACKS - MICROPILES
219179,UTILITIES
